Character,Text
Mikal,"It comes on a full moon to feed. That's what Ma used to say. When a wolf crosses a maiden's grave. A pregnant girl who died before her time. That babe starts growing right in her belly. When it's big enough that babe rips out. Only it ain't a babe no more. It's a monster. A vukodlak. I swear, Witcher, that's what got me. I swear I saw it. I swear on my Ma's grave, I saw it..."
Tsoka,"Shh. Shh, shh."
Witcher,"Three thousand Ores. Up front."
Danica,"This… I definitely know. The vampire bled / As white as a sheet / And yet her dead heart did beat / Did beat The kikimora? Hmm. I don’t recall the bard singing of this one. Who would dare try and rob you of your treasure? A woman?"
Geralt,"Princess."
Danica,"Were you in love? What’s her name?"
Geralt,"When you live as long as I do, all the names start to sound the same."
Danica,"Were destiny a kinder bitch, a whore like me wouldn’t have to settle for her client’s telltales. A friend of yours came through here last month headed for Temeria."
Geralt,"Friend?"
Danica,"Another witcher. I blessed that prick with my fullest efforts, too, and he-"
Geralt,"What’s in Temeria?"
Danica,"Do you not just hear me talking?"
Geralt,"Shouldn’t you know when someone’s pretending?"
inkeeper,"It’s been three nights. Pay up or get out!"
Geralt,"Temeria?"
Danica,"It’s got a pest problem. A few miners rounded up 3000 orens to have it killed. Your boy took the coin and ran."
innkeeper,"You hear me?"
Geralt,"Thank you… for… everything."
innkeeper,"Witcher!"
Danica,"Hm. What about the room?"
Geralt,"Don’t judge me. I’ll be back with payment in a few days. Anything happens to my horse…"
innkeeper,"You don’t scare me."
Geralt,"Point me to Temeria."
human miner,"Years of attacks by this creature, and the king does nothing. We must force his hand. Lay down our picks and refuse to work."
one-eyed dwarf,"And a half-measure ain’t gonna do! We’ve got to move on. Plenty of work south of Sodden."
Tsoka,"My son, rest his soul, told me in Nilfgaard the king diddled whores while his subjects starved. Then someone came. The Usurper. And he rallied the people, and they took back what was theirs!"
miners,"Yeah!"
Tsoka,"I say we follow their lead!"
Geralt,"You can’t kill the vokodlak, so you decide to kill your king? Great plan."
Tsoka,"Another fuckin’ witcher. Your kind already swindled us once."
Geralt,"I take payment after the job is done and for a third of the price. An apology… from my guild to yours."
Tsoka,"And if you can’t kill it?"
Geralt,"Then I die."
Lord Ostrit,"Please. Everyone remain calm. Lower your weapons and return to your homes. Do so quickly and without further theatrics, and you have my word that our king will not hear of this treason."
Tsoka,"Foltest commits treason. He hides in his winter caste as we are eaten."
miners,"Yeah!"
Lord Ostrit,"Mikal was a good boy. Revenge will not ease your pain."
Tsoka,"You know nothing of my pain."
Geralt,"Does Foltest have a plan?"
Lord Ostrit,"See this one to our borders. Temeria’s had their fill… of witchers."
Triss,"Witcher. You can put down your sword. I’m not here to hurt you."
Geralt,"Says the witch hiding in the woods."
Triss,"Sorceress."
Geralt,"Witch."
Triss,"Triss Merigold. I serve King Foltest."
Geralt,"So he makes a show of kicking me out… then sends his errand girl to slip me some coin so I kill his monster. Not a very original plan for a king."
Triss,"It’s my plan. My coin. And I don’t want you to kill the beast. I want you to help me save it."
Triss,"Six years ago stable hands started vanishing at the castle above the city. Before long, citizens were disappearing throughout all Temeria. Foltest’s royal guard soon realized the creature was coming from the crypt where the king’s sister Adda is buried. Rumor has it she was having an affair with a young man in town when she died."
Geralt,"Was she pregnant?"
Triss,"Well, if she were, that would make her child the sole heir to the throne as Foltest never married. The king fled the castle, ignoring the rising death toll. After Nilfgaard overthrew their king, the brotherhood couldn’t risk it happening again, so they sent me here three months ago to cure the creature."
Geralt,"Vukodlaks are freak mutations. They can’t be cured."
Triss,"Good thing it’s not a vukodlak."
Triss,"Two thousand orens if you can tell me what exactly killed these people."
Geralt,"You didn’t want the people to know that it bested a witcher. And you let them believe that he fled with their coin."
Triss,"You two clearly weren’t acquainted."
Geralt,"His heart’s missing along with his liver. Only one creature I know is that picky an eater. A striga."
Triss,"Strigas are old wives’ tales."
Geralt,"They’re very rare. The only way to make one is through a curse."
Triss,"Someone wanted Adda dead."
Geralt,"Mm-hmm. But the curse didn’t stop with Adda. It turned her daughter into a monster."
Triss,"Her daughter?"
Geralt,"Strigas are female. This striga’s a princess."
Istredd,"Uh… can… can… U, can they do something? Uh, they- they’re just watching."
Istredd,"I was a nice touch with the applause. So how many more times do you think we get to do this?"
Yennefer,"I don’t know. Soon you’ll be off to your ruins, dashing explorer."
Istredd,"Part-time dashing explorer. Stregobor says Temeria leans heavily on its mages."
Yennefer,"So maybe you’ll be too busy for me."
